Player,CC Player ID,Current Team,Teams,Playing Role,Batting Style,Bowling Style
Zafar Khan,996410,Harab Motors Pak Stars,"Serengeti Giants,Petrofuel Stars,Gp,Pak Stars,Tanzania,STARS,Chui Challengers,GP Chui Challengers,Harab Motors Pak Stars,Flashnet Pak Stars,Simba Kings,Pak Stars A,Chui Riders",All Rounder,Right Handed Batter,Right Arm Off Spin
Zahid abbas,996413,Harab Motors Pak Stars,"Gp,CTV Royal Rhinos,Flashnet Pak Stars,Pak Stars,Twiga Titans,Pak Stars A,Harab Motors Pak Stars,GIANTS",All Rounder,Right Handed Batter,Right Arm Off Spin
Aahil Jasani,996325,Aksc B,"Ngorongoro Titans,Alliance Stars,Aksc,Kinondoni Development,Royal Rhinos,Aurobindo Aksc,I&M Aurobindo Aksc,Aksc B,Simba Heroes",All Rounder,Right Handed Batter,Right Arm Off Spin
Aaryan Premji,996327,Aurobindo Aksc,"Serengeti Giants,Aksc,Aurobindo Aksc",All Rounder,Right Handed Batter,Right Arm Leg Spin
Akbar Khan,996337,Aksc B,"Aksc B,Aksc",All Rounder,Right Handed Batter,Right Arm Medium
Arif Dhalla,996336,Aksc B,"Aksc B,Aksc,LEGENDS",All Rounder,Right Handed Batter,Left Arm Off Spin
Arsalaan Premji,996326,Aurobindo Aksc,"Ngorongoro Titans,Alliance Stars,Aksc,Aksc B,Ilala Boys,Dar Tigers,Chui Challengers,Aurobindo Aksc,Royal Rhinos,I&M Aurobindo Aksc,Chui Riders",All Rounder,Right Handed Batter,Right Arm Off Spin
Ayzaz Jasani,996324,Aksc B,"Aksc,Aksc B,ICONS,Aurobindo Aksc,LEGENDS,I&M Aurobindo Aksc,Dar Legends XI",All Rounder,Right Handed Batter,Right Arm Off Spin
Azhaar Premji,1031220,Aurobindo Aksc,"Aksc,Aksc B,Ilala Boys,Tca Development,Mikumi Hitters,Aurobindo Aksc,Serengeti Boys,Lions Academy,Dar Youth Combine,I&M Aurobindo Aksc,Dar Combine,Twiga Stars",Bowler,Right Handed Batter,Right Arm Leg Spin
Dhrumit Mehta,996332,Aurobindo Aksc,"Aksc,Upanga Warriors,Aksc B,Kilimanjaro Aces,G1 Buffalo Blasters,Tembo Stars,Aurobindo Aksc,Twiga Titans,I&M Aurobindo Aksc,Dar Combine",All Rounder,Right Handed Batter,Right Arm Off Spin
Harsheed Chohan,996328,Aurobindo Aksc,"Ngorongoro Titans,Aksc,Tanzania XI,Tanzania,GALAXIES,Tembo Stars,Aurobindo Aksc,Twiga Titans,I&M Aurobindo Aksc,Rhino Challengers",All Rounder,Right Handed Batter,Right Arm Fast
Jitendra Gariya,996338,Aksc,Aksc,All Rounder,Right Handed Batter,Right Arm Fast
Keyur Patel,996335,Patel Brotherhood A,"Aksc,Patel Brotherhood A,Patel Brotherhood",All Rounder,Right Handed Batter,Right Arm Medium
Khalil Rehemtullah,996331,Union Youths,"Sklpsc,Tembo Warriors,Aksc,Union Youths,Honest Logistics Sklpsc,Chui Challengers,Ateme Sklpsc,Tembo Rangers",All Rounder,Right Handed Batter,Right Arm Fast
Riziki Kiseto,996329,Aurobindo Aksc,"Aksc,Petrofuel Stars,Tembo Warriors,Tanzania XI,Usambara Development,Tanzania,Usambara Stars,Meru Royal Rhinos,Tembo Stars,Aurobindo Aksc,Reliance Twiga Titans,Chui Challengers,I&M Aurobindo Aksc,Tembo Rangers",All Rounder,Right Handed Batter,Right Arm Off Spin
Sadiki Iddi,996339,Aksc B,"Aksc,Aksc B,Tembo Stars,Aurobindo Aksc,Pacific Tembo Stars,I&M Aurobindo Aksc,Twiga Masters",All Rounder,Right Handed Batter,Right Arm Leg Spin
Sadiq Halari,996334,Aksc B,"Aksc B,Aksc,Upanga Sports Club,Reliance Simba Kings,Aurobindo Aksc",All Rounder,Right Handed Batter,Right Arm Medium
Sefu Khalifa,996330,Union Sports Club,"Union Sports Club,Serengeti Giants,Aksc,Tembo Stars,Reliance Simba Kings,SKY Simba Kings,Royal Rhinos,Buffalo Gladiators",All Rounder,Right Handed Batter,Left Arm Off Spin
Yash Desai,996333,Aksc B,"Aksc B,Aksc,ICONS",All Rounder,Right Handed Batter,Right Arm Medium
Ally Mpeka,1105103,Balakrishna Foundation Aces,"Tanzania XI,Moro Stars,Tanzania,Aces,Aruti Aces,Aces A,Kilimanjaro Aces,STARS,Morogoro Stars,Royal Rhinos,G1 Buffalo Blasters,Toyam Chui Challengers,E-Parking Aces,Alaf Aces,Tembo Stars,Balakrishna Foundation Aces,Buffalo Gladiators",All Rounder,Right Handed Batter,Right Arm Fast
Emmanuel Peter Choya,1105104,Aces B,"Alaf Aces,Aruti Aces B,Aces,Aruti Aces,Aces A,E-Parking Aces,Aces B",Bowler,Right Handed Batter,Right Arm Off Spin
Arshaan Jasani,1116805,Aurobindo Aksc,"Aksc,Petrofuel Stars,Tanzania XI,Kinondoni Development,Kilimanjaro Aces,GALAXIES,Royal Rhinos,Aurobindo Aksc,Tanzania,I&M Aurobindo Aksc,Rhino Challengers",All Rounder,Right Handed Batter,Left Arm Off Spin
John Zablon,1156443,Aksc B,"Aksc B,Aksc,LEGENDS",All Rounder,Right Handed Batter,Right Arm Off Spin
Vipin Abraham,1116807,Aurobindo Aksc,"Aksc,Chui Challengers,Ashton Buffalo Blasters,Aurobindo Aksc,Tembo Stars,I&M Aurobindo Aksc,Simba Heroes",All Rounder,Right Handed Batter,Right Arm Fast
Mohamed Omary,1097665,Harab Motors Pak Stars,"Serengeti Giants,Tanzania XI,Kinondoni Development,Dar Tigers,Pak Stars,Tanzania,Caravans,STARS,Meru Royal Rhinos,Tembo Stars,Harab Motors Pak Stars,Reliance Twiga Titans,Flashnet Pak Stars,Dar Motor36 Stars,Buffalo Blasters,Pak Stars A,Twiga Masters",Wicket Keeper,Right Handed Batter,Right Arm Off Spin
Rijali Fentu,1097663,Patel Titans,"Dar Tigers,Lions Academy,Patel Brotherhood A,Lions CC,Caravans,Patel Titans,Twiga Titans,Delaware Twiga Titans,Toyam Chui Challengers,Chui Challengers,Kaon Lions,Dar Motor36 Stars,Dar Combine,Lions Cricket Club,Buffalo Gladiators,All Season Lions",All Rounder,Right Handed Batter,Right Arm Off Spin
Gurpal Singh,1105603,Upanga SC - B,"Gymkhana,Upanga SC - B",All Rounder,Right Handed Batter,Right Arm Medium
Hamisi Lyimo,1116806,Gymkhana,"Gymkhana,Gymkhana B,NTS Bosch Gymkhana,JiuZhou Gymkhana,Simba Kings,Chui Riders",Wicket Keeper,Right Handed Batter,Right Arm Medium
Qaiser Awan,1135716,Lions CC,"Gymkhana,Lions Castilla,Lions CC",All Rounder,Right Handed Batter,Right Arm Off Spin
Ravi Rai,1105602,Gymkhana,Gymkhana,All Rounder,Right Handed Batter,Right Arm Medium
Zamoyoni Ramadhani,1097683,Harab Motors Pak Stars,"Serengeti Giants,Tanzania XI,Ilala Boys,Dar Tigers,Pak Stars,Tanzania,Gymkhana,STARS,Royal Rhinos,Delaware Twiga Titans,Pacific Tembo Stars,Harab Motors Pak Stars,Flashnet Pak Stars,Pak Stars A,Twiga Masters",All Rounder,Right Handed Batter,Right Arm Fast
Ghanshyam Gondaliya,1099292,Sklpsc B,"Sklpsc B,Sklpsc",All Rounder,Right Handed Batter,Right Arm Medium
Hitesh Pindoria,1098678,Sklpsc,Sklpsc,All Rounder,Right Handed Batter,Right Arm Medium
Miraj Dewani,1099591,Strikers B,"Strikers B,St. Gobain Strikers,Strikers",All Rounder,Right Handed Batter,Right Arm Leg Spin
Shravan Kumar,1098667,Patel B,"Balakrishna Strikers,ICONS,Strikers,Patel Brotherhood A,St. Gobain Strikers,Patel B",Bowler,Right Handed Batter,Right Arm Medium
Zahir Patel,1172761,Gupta Upanga SC - B,"Gupta Upanga SC - B,ICONS,St. Gobain Strikers,Upanga Sports Club,Strikers A,Upanga SC - B,Black & Decker Upanga",All Rounder,Right Handed Batter,Right Arm Medium
Jaffary Kanyita,1208698,Kingalu Boys,"Serengeti Giants,Alaf Aces,Kingalu Boys,Upanga Warriors,Aces B,Moro Stars,Aces,Aruti Aces,Aces A,Royal Rhinos,Meru Royal Rhinos,Morogoro Boys,E-Parking Aces,SKY Simba Kings,Uluguru Stars,Alaf Aces B",Wicket Keeper,Right Handed Batter,Right Arm Medium
Johnson David,1196786,Econo Lodge Lions,"Dar Boys U17,Lions Cricket Club,Lions B,Kinondoni Boys U18,Lions Castilla,Lions Leo,Tca Development,Lions C,Aces,TCA Academy,Dar Boys,Ruaha Titans,Serengeti Boys,EMPERORS,All Season Lions,Kinondoni Boys,Dar Motor36 Stars,Lions CC,Econo Lodge Lions,Twiga Stars",All Rounder,Right Handed Batter,Right Arm Medium
Aiman Khan,1172715,Aksc B,"Aksc,Aksc B,Ilala Boys,Aurobindo Aksc,I&M Aurobindo Aksc",Bowler,Right Handed Batter,Right Arm Medium
Dhyey Shah,1172716,Delaware Upanga SC,"Azania Bank Upanga SC,FMED Upanga,Gupta Upanga SC - A,Kinondoni Development,Upanga Sports Club,Strikers A,Delaware Upanga SC - A,Delaware Upanga SC,Aksc,Tembo Stars,Black & Decker Upanga",All Rounder,Right Handed Batter,Right Arm Medium
Diyan Desai,1172717,Aksc,Aksc,All Rounder,Right Handed Batter,Right Arm Medium
Farhaaz Juma,1172718,Aksc B,"Aksc,Aksc B,I&M Aurobindo Aksc,Aurobindo Aksc",Wicket Keeper,Right Handed Batter,Right Arm Medium
Malik Alani,1172719,Aksc B,"Aksc B,Aksc,ICONS",All Rounder,Right Handed Batter,Right Arm Medium
Umang Somani,1172720,Econo Lodge Lions,"Gymkhana,Aksc,Econo Lodge Lions,Lions B,DTB Gymkhana",All Rounder,Right Handed Batter,Right Arm Medium
Dhaneesh Dharmajan,1209197,Caravans D,"Caravans C,Caravans D,Caravans,Caravans B",All Rounder,Right Handed Batter,Right Arm Off Spin
Nandu Gn,1174420,Caravans C,"Caravans C,Caravans,Caravans B",Bowler,Right Handed Batter,Right Arm Medium
Prabhu Subramani,1268726,Caravans C,"Caravans C,Caravans B,Caravans",All Rounder,Right Handed Batter,Right Arm Off Spin
Praveen Menon,1174421,Caravans,Caravans,All Rounder,Right Handed Batter,Right Arm Medium
Vineeth Chandran,1268727,Caravans C,"Caravans C,Caravans B,Caravans",All Rounder,Right Handed Batter,Right Arm Medium
Jitesh Jethwa,1172762,Strikers B,"Strikers B,St. Gobain Strikers",All Rounder,Right Handed Batter,Right Arm Medium
Nikul Patel,1527869,Delaware Upanga SC,"Azania Bank Upanga SC,Gupta Upanga SC - A,Strikers A,Delaware Upanga SC - A,Delaware Upanga SC,St. Gobain Strikers,Upanga SC - B",All Rounder,Right Handed Batter,Right Arm Medium
Raahil Amarshi,1172764,Strikers,"Strikers,Strikers B,St. Gobain Strikers,Remax Strikers,Novum Strikers",All Rounder,Right Handed Batter,Right Arm Medium
Rutul Darji,1386937,Strikers A,"Strikers A,St. Gobain Strikers",All Rounder,Right Handed Batter,Right Arm Off Spin
Abdullah Imtiyaz,1172754,Econo Lodge Lions,"Lions B,Lions CC,Lions Cricket Club,Lions Academy,Kinondoni Boys U18,Lions Castilla,Lions Leo,Lions Youths,Manyara Heroes,Dar Boys,Strikers,All Season Lions,Kaon Lions,Econo Lodge Lions,Tanzania U19",All Rounder,Right Handed Batter,Right Arm Medium
Adil Ayub,1172756,Lions C,"Lions Castilla,Lions CC,Lions Academy,Lions Leo,Lions C,Lions Youths,Manyara Heroes",All Rounder,Right Handed Batter,Right Arm Off Spin
Ashfaq Imtiyaz,1172755,Econo Lodge Lions,"Lions B,Lions CC,Lions Cricket Club,Lions Academy,Ilala Boys U18,Lions Castilla,Lions Leo,Lions C,Lions Youths,Manyara Heroes,Dar Boys,Serengeti Boys,All Season Lions,Kaon Lions,Econo Lodge Lions,GIANTS",All Rounder,Right Handed Batter,Right Arm Medium
Aslam Ahmed,1172753,Lions CC,Lions CC,All Rounder,Right Handed Batter,Right Arm Medium
Ninad Save,1172757,Lions CC,Lions CC,All Rounder,Right Handed Batter,Right Arm Medium
Rehaan Rafiq,1193648,Econo Lodge Lions,"Lions B,Lions CC,Lions Cricket Club,Lions Academy,Ilala Boys U18,Lions Castilla,Lions Leo,Lions Youths,Lions C,Manyara Heroes,All Season Lions,Econo Lodge Lions",All Rounder,Right Handed Batter,Right Arm Medium
Mohamed Rizvi,1248158,Union Sports Club,"Union Sports Club,Kinondoni Development,Buffalo Gladiators",All Rounder,Right Handed Batter,Right Arm Fast
Ajith Shetty,1172724,Aces B,"K&p Constructions,Aces B,Alaf Aces,Aruti Aces B,Alaf Aces B,Aces,Aces A,GIANTS",All Rounder,Right Handed Batter,Right Arm Medium
Arun Dagar,1172725,Flashnet Strikers,"Sklpsc,K&p Constructions,Strikers,Ateme Sklpsc,Flashnet Strikers",All Rounder,Right Handed Batter,Right Arm Medium
Bhanu Gudap,1172726,K&p Constructions,K&p Constructions,All Rounder,Right Handed Batter,Right Arm Medium
Dinesh Rabadiya,1172727,Sklpsc A,"Sklpsc,K&p Constructions,Sklpsc A,Honest Logistics Sklpsc,Ateme Sklpsc,Buffalo Blasters",All Rounder,Right Handed Batter,Right Arm Medium
Gulam Yassin,1172742,Specialized K&P A,"Specialized K&P A,K&p Constructions,K&P Constructions",All Rounder,Right Handed Batter,Right Arm Medium
Lakshmikanth Sukavasi,1172728,Specialized K&P A,"Specialized K&P A,K&p Constructions,K&P Constructions",All Rounder,Right Handed Batter,Left Arm Off Spin
Mukul Pathak,1172729,Flashnet Strikers,"Strikers,K&p Constructions,Balakrishna Strikers,Remax Strikers,Simba Kings,Strikers A,Buffalo Blasters,Flashnet Strikers,Chui Riders,Novum Strikers,Toyam Chui Challengers",All Rounder,Right Handed Batter,Right Arm Fast
Naga Gurijala,1172730,Specialized K&P A,"Specialized K&P A,K&p Constructions,K&P Constructions",All Rounder,Right Handed Batter,Right Arm Off Spin
Nageswara Ila Rao,1172731,Specialized K&P A,"Specialized K&P A,K&p Constructions,K&P Constructions",Wicket Keeper,Right Handed Batter,Right Arm Medium
Pramod Shetty,1172732,Lions Castilla,"Lions Castilla,K&p Constructions,Lions CC",All Rounder,Right Handed Batter,Right Arm Medium
Qazi Ehteshamuddin,1172733,Gymkhana,"K&p Constructions,Gymkhana,Sklpsc B",All Rounder,Right Handed Batter,Left Arm Medium
Raj Jatan,1209244,Unisoft Rising Stars,"K&p Constructions,Alaf Aces,Aruti Aces B,Alaf Aces B,Unisoft Rising Stars,Aces",All Rounder,Right Handed Batter,Right Arm Medium
Ramalingaiah Neelam,1172734,Specialized K&P A,"Specialized K&P A,K&p Constructions,K&P Constructions",Bowler,Right Handed Batter,Right Arm Off Spin
Santhosh Vareed,1172735,K&p Constructions,K&p Constructions,All Rounder,Right Handed Batter,Right Arm Medium
Sarat Sanka,1172736,K&p Constructions,K&p Constructions,All Rounder,Right Handed Batter,Right Arm Medium
Sheldon Kotian,1172737,Lions C,"Lions Castilla,K&p Constructions,Lions C",All Rounder,Right Handed Batter,Right Arm Medium
Subba Gurram,1172738,K&p Constructions,K&p Constructions,All Rounder,Right Handed Batter,Right Arm Medium
Suman Emuru,1172739,K&p Constructions,"K&p Constructions,K&P Constructions",All Rounder,Right Handed Batter,Right Arm Medium
Suresh Patni,1172740,K&p Constructions,K&p Constructions,All Rounder,Right Handed Batter,Right Arm Medium
Venkateswararao Katru,1172741,Specialized K&P A,"Specialized K&P A,K&p Constructions,K&P Constructions,Ashton Buffalo Blasters",All Rounder,Right Handed Batter,Right Arm Fast
Amit Raghuvanshi,1174910,Gymkhana,"Alliance Stars,Gymkhana,GP Chui Challengers,Toyam Chui Challengers,NTS Bosch Gymkhana,JiuZhou Gymkhana,ICONS,TITANS,Chui Riders,DTB Gymkhana",All Rounder,Right Handed Batter,Right Arm Medium
David Mtanga,1174909,Gymkhana,Gymkhana,All Rounder,Right Handed Batter,Right Arm Medium
Sadaf Saifee,1617767,Gupta Upanga SC - B,"Gupta Upanga SC - B,Gupta Upanga SC - A,Gymkhana,Upanga SC - B",Bowler,Right Handed Batter,Right Arm Off Spin
Trushant Patel,1554740,Patel Brotherhood A,"Gymkhana B,NTS Bosch Gymkhana,Gymkhana,Patel Brotherhood A,DTB Gymkhana",Bowler,Right Handed Batter,Right Arm Medium
Akshit Hirani,1172767,Sklpsc,Sklpsc,All Rounder,Right Handed Batter,Right Arm Medium
Bhavesh Pindoriya,1172772,Sklpsc,Sklpsc,All Rounder,Right Handed Batter,Right Arm Medium
Dhiren Gondalia,1172768,Honest Logistics Sklpsc,"Honest Logistics Sklpsc,Sklpsc",All Rounder,Right Handed Batter,Right Arm Medium
Harish Dabasiya,1172773,Sklpsc B,"Sklpsc B,Sklpsc",Bowler,Right Handed Batter,Right Arm Medium
Harshil Budhiya,1172769,Sklpsc,Sklpsc,All Rounder,Right Handed Batter,Right Arm Medium
Kalpesh Gondariya,1172775,Sklpsc,Sklpsc,All Rounder,Right Handed Batter,Right Arm Medium
Nilesh Bhudiya,1172776,Sklpsc,Sklpsc,All Rounder,Right Handed Batter,Right Arm Medium
Rajesh Rupaliya,1172778,Sklpsc,Sklpsc,All Rounder,Right Handed Batter,Right Arm Medium
Rudra Hirani,1172770,Sklpsc B,"Ruaha Titans,Sklpsc B,Sklpsc,Honest Logistics Sklpsc",All Rounder,Right Handed Batter,Right Arm Off Spin
Sachin Budhiya,1172771,Sklpsc,"Sklpsc,Honest Logistics Sklpsc,Ateme Sklpsc",All Rounder,Right Handed Batter,Right Arm Medium
Assad Aziz,1172781,Karibu Tanzanite DCC,"DCC,Dcc,Karibu Tanzanite DCC,Dcc A,Horizon Teleports DCC",All Rounder,Right Handed Batter,Right Arm Off Spin
Deepak Joshi,1172782,Karibu Tanzanite DCC,"DCC,Dcc,Karibu Tanzanite DCC,Dcc A,Horizon Teleports DCC,Dcc B",Bowler,Right Handed Batter,Right Arm Leg Spin
Divesh Nadiadhara,1172783,Karibu Tanzanite DCC,"DCC,Alliance Stars,Dcc,Karibu Tanzanite DCC,Dcc B,Horizon Teleports DCC",Bowler,Right Handed Batter,Right Arm Off Spin
Faizan Osman,1172784,Karibu Tanzanite DCC,"DCC,Dcc,Karibu Tanzanite DCC,Dcc B,Horizon Teleports DCC",All Rounder,Right Handed Batter,Right Arm Off Spin
Gopal Solanki,1172785,Karibu Tanzanite DCC,"DCC,Dcc,Karibu Tanzanite DCC,Dcc B,Dcc A,Horizon Teleports DCC",All Rounder,Right Handed Batter,Left Arm Off Spin
Hozefa Hussein,1172786,Karibu Tanzanite DCC,"DCC,Dcc,Karibu Tanzanite DCC,Dcc A,Horizon Teleports DCC",All Rounder,Right Handed Batter,Right Arm Fast
Ikram Ismail,1172787,Lions C,"Dcc,Lions Leo,Dcc B,Lions C",Bowler,Right Handed Batter,Right Arm Off Spin
Junaid Usman,1174892,Karibu Tanzanite DCC,"DCC,Dcc,Karibu Tanzanite DCC,Dcc B,Dcc A,Horizon Teleports DCC",All Rounder,Right Handed Batter,Right Arm Off Spin
Kaiz Osman,1172788,Karibu Tanzanite DCC,"DCC,Dcc,Karibu Tanzanite DCC,Dcc B,Horizon Teleports DCC",Bowler,Right Handed Batter,Right Arm Off Spin
Makhdum Zaveri,1172789,Dcc,Dcc,All Rounder,Right Handed Batter,Right Arm Medium
Mitul Jethalal,1172790,Patel B,"DCC,Dcc,Dcc A,Dcc B,Patel B,Dar Legends XI,Horizon Teleports DCC",All Rounder,Right Handed Batter,Left Arm Off Spin
Muzammil Kassum,1172792,Strikers B,"Strikers B,Dcc",Bowler,Right Handed Batter,Right Arm Medium
Ramadhani Mbunde,1172793,Park Mobile Lions,"Lions Castilla,All Season Lions,Lions Cricket Club,Lions Academy,Kaon Lions,Lions CC,Lions A,Park Mobile Lions,Dcc",Wicket Keeper,Right Handed Batter,Right Arm Off Spin
Rameez Osman,1172794,Strikers B,"Strikers B,Dcc,Dcc B",Bowler,Right Handed Batter,Right Arm Medium
Sufian Usman,1172795,Karibu Tanzanite DCC,"DCC,Dcc,Karibu Tanzanite DCC,Dcc A,Horizon Teleports DCC",All Rounder,Right Handed Batter,Right Arm Medium
Umar Fateh,1172796,Karibu Tanzanite DCC,"Dcc,Dcc A,Karibu Tanzanite DCC",All Rounder,Right Handed Batter,Right Arm Medium
Abhilash Mootheth,1172798,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Athul Jayadev,1172799,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Avinash Dev,1172800,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Faraj Athumani,1202204,Estim A,"Mcc,Estim A,Tembo Warriors,Upanga Warriors,Twiga Titans",All Rounder,Right Handed Batter,Right Arm Medium
Ismail Kottal,1172801,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Jabin Roshan,1172802,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Fast
Jithesh Kannu,1172803,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Jithin Mohan,1172804,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Fast
Joms Joy,1172805,Caravans B,"Mcc,Caravans B,Caravans",All Rounder,Right Handed Batter,Right Arm Medium
Kelvin Anjelo,1210223,Unisoft Rising Stars,"Mcc,Serengeti Giants,Kinondoni Development,Dar Tigers,Unisoft Rising Stars,GALAXIES,Royal Rhinos,CTV Royal Rhinos,NTS Bosch Gymkhana,KINGS,Gymkhana,Tembo Stars,Dar Motor36 Stars,TCA BOYS U19,Dar Combine,Buffalo Gladiators",All Rounder,Right Handed Batter,Right Arm Medium
Manu George,1172806,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Nandakishan Pottachira,1172807,Caravans,"Mcc,Alliance Caravans,Pacific Tembo Stars,Chui Challengers,Caravans,Royal Rhinos,Simba Heroes",All Rounder,Right Handed Batter,Right Arm Off Spin
Nithin Thomas,1172808,Caravans C,"Mcc,Caravans C",All Rounder,Right Handed Batter,Right Arm Fast
Prasoon Puthiyedath,1172809,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Reneesh Babu,1172810,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Safvan Annarathodika,1172812,Park Mobile Lions,"CTV Royal Rhinos,Mcc,Alliance Caravans,All Season Lions,Lions Cricket Club,Royal Rhinos,Caravans,Lions A,Park Mobile Lions,Simba Kings",Wicket Keeper,Right Handed Batter,Right Arm Medium
Sajith Paduvilan,1172813,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Salaam Olilkkandy,1172814,Mcc,"Mcc,Tembo Stars",All Rounder,Right Handed Batter,Right Arm Fast
Shabeer Ummer,1172811,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Shajil Ayadathil,1172815,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Shiril Shanthakuamaran,1172817,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Sreejesh Puthiyaveetil,1172818,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Vinesh KV,1172819,Mcc,Mcc,All Rounder,Right Handed Batter,Right Arm Medium
Ameet Gohel,1194958,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Brett Sutton,1194972,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Chintu Patel,1194968,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
David Van Vuuren,1194970,NTS Bosch Gymkhana,"Dik Diks,Gymkhana,NTS Bosch Gymkhana",All Rounder,Right Handed Batter,Right Arm Medium
Dean Delaney,1194963,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Denis Mosses Augostino,1194980,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Hendri Lombard,1194973,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Hussein Zain,1194966,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Jack Langworthy,1202489,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Jason Gibson,1194964,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Jasper Dymoke,1202490,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Jean Tarbuck,1194974,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Jonathan Arul,1194965,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Kartik Kapoor,1210406,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Kevin Patel,1194975,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Luke Bennet,1194962,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Mike Van Vuuren,1194960,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Myron Pillay,1194959,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Nishit Kanabar,1194955,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Paul Nilsen,1194969,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Pete Sherwood Smith,1194956,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Robert Beechey,1194957,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Rory Mcwade,1194976,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Rory Micklem,1194981,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Rusty Van Rensburg,1194978,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Shaun Du Plessis,1194979,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Siddhart Kamalia,1194954,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Simon Mayers,1194977,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Stephen Robertson,1194982,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Theo Sands,1202491,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Thomas Matanga,1194967,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Vimal Vaghmaria,1194971,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Yiannis Ferreira,1194961,Dik Diks,Dik Diks,All Rounder,Right Handed Batter,Right Arm Medium
Abbas Adamji,1174488,Annadil Burhani,"Ngorongoro Titans,Annadil Burhani,Gymkhana,Simba Kings,Reliance Simba Kings,SKY Simba Kings,JiuZhou Gymkhana,Horizon Annadil Burhani,Tembo Stars,Jiuzhou Annadil Burhani,Simba Heroes",Wicket Keeper,Right Handed Batter,Right Arm Off Spin
Abdulkadir Dossajee,1174492,Annadil Burhani,"Annadil Burhani,Horizon Annadil Burhani,LEGENDS,Annadil Seifee,Dar Legends XI,Jiuzhou Annadil Burhani",All Rounder,Right Handed Batter,Right Arm Medium
Adnan Zariwala,1174493,Annadil Burhani,"Annadil Burhani,Simba Kings,Reliance Simba Kings,SKY Simba Kings,Horizon Annadil Burhani,Buffalo Blasters,Jiuzhou Annadil Burhani,TITANS,Twiga Masters",All Rounder,Right Handed Batter,Right Arm Leg Spin
Akil Raja,1174491,Annadil Seifee,"Annadil Seifee,Annadil Burhani,Horizon Annadil Burhani",All Rounder,Right Handed Batter,Right Arm Fast
Ali Janoowala,1174497,Annadil Burhani,"Annadil Burhani,Horizon Annadil Burhani,Jiuzhou Annadil Burhani",All Rounder,Right Handed Batter,Right Arm Medium
