Player,CC Player ID,Current Team,Teams,Playing Role,Batting Style,Bowling Style
Athumani Siwa,996422,Flashnet Strikers,"Strikers,Sklpsc,Dar Tigers,Lions Academy,Kilimanjaro Aces,Meru Royal Rhinos,Twiga Titans,Sklpsc B,Pacific Tembo Stars,Honest Logistics Sklpsc,Remax Strikers,Dar Motor36 Stars,Buffalo Blasters,Flashnet Strikers,Chui Riders",All Rounder,Right Handed Batter,Right Arm Off Spin
Benson Nyaikini,1008089,Honest Logistics Sklpsc,"Sklpsc,Honest Logistics Sklpsc,Simba Kings",All Rounder,Right Handed Batter,Right Arm Medium
Lazaro Festo,996421,Specialized K&P B,"Tembo Warriors,Sklpsc,Lions Academy,Specialized K&P B,Specialized K&P A,Mcc,Buffalo Blasters,Strikers,Ashton Buffalo Blasters,Balakrishna Strikers,Twiga Titans,Dar Motor36 Stars,Rhino Challengers",All Rounder,Right Handed Batter,Right Arm Medium
Mukund Vekariya,996424,Sklpsc,Sklpsc,All Rounder,Right Handed Batter,Right Arm Medium
Naran Kerai,996418,Estim A,"Pigabet Estim,Estim A,Sklpsc,Honest Logistics Sklpsc,Sklpsc B",All Rounder,Right Handed Batter,Right Arm Off Spin
Naran Vekariya,996415,Sklpsc A,"Sklpsc,Alliance Stars,Sklpsc A,Honest Logistics Sklpsc,Ateme Sklpsc,GIANTS",All Rounder,Right Handed Batter,Right Arm Fast
Navin Dabasiya,996423,Sklpsc B,"Sklpsc B,Sklpsc",All Rounder,Right Handed Batter,Right Arm Medium
Nilesh Varsani,996414,Sklpsc,"Sklpsc,Honest Logistics Sklpsc,Ateme Sklpsc",All Rounder,Right Handed Batter,Right Arm Off Spin
Nyenje Hashim,996420,Flashnet Strikers,"Ngorongoro Titans,Strikers,Sklpsc,Ilala Boys,Gymkhana,Meru Royal Rhinos,SKY Simba Kings,Balakrishna Strikers,Remax Strikers,Twiga Titans,Dar Combine,Flashnet Strikers,Buffalo Gladiators,Novum Strikers",All Rounder,Right Handed Batter,Right Arm Medium
Pravin Hirani,996427,Sklpsc B,"Sklpsc B,Sklpsc",All Rounder,Right Handed Batter,Right Arm Medium
Rajesh Vekariya,996429,Sklpsc,Sklpsc,All Rounder,Right Handed Batter,Right Arm Off Spin
Ramesh Dabasiya,996426,Sklpsc B,"Sklpsc B,Sklpsc",All Rounder,Right Handed Batter,Right Arm Medium
Vinesh Gorasiya,996417,Sklpsc,"Petrofuel Stars,Sklpsc,Honest Logistics Sklpsc",All Rounder,Right Handed Batter,Left Arm Off Spin
